tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_804350000	classic1	31.0756088095367	-19.1237486178949	-22.9145707385825	-11.8996930604093	6.52233697356151	14.1629289045474
classic1_STATE_806020000	classic1	12.5495516323609	14.0904137449206	18.9021587963217	-2.60095203041604	6.08949061751231	14.2296173088252
classic1_STATE_807690000	classic1	29.5612402401236	-15.4056663628083	-16.4969056750293	-19.5320174483629	-0.039664306452607	11.3038215267749
classic1_STATE_809360000	classic1	36.6251339973948	8.82149245665323	12.7046997952136	3.38050545697085	-11.1087734699987	-39.2053107775685
classic1_STATE_811040000	classic1	31.1681312455475	8.95196942338585	-12.2432700848465	-27.8673217680227	-32.4693971143243	-8.97929835704053
classic1_STATE_812710000	classic1	39.5345884985374	-5.52332061684972	-26.2927707674018	3.55787164991534	0.961437304762048	-11.329751275793
classic1_STATE_814380000	classic1	37.5066676768911	9.04270850858767	-13.8707541138767	-9.85741980368653	-4.02398078630138	14.0604494563041
classic1_STATE_816050000	classic1	30.6112698870122	8.8450444670698	18.9120651047252	-4.80977326094243	5.21261697164206	9.02816231248707
classic1_STATE_817730000	classic1	34.4877287820183	2.70192270563039	-7.8771905870104	-2.97000268218178	10.9166773215867	-16.0677751654522
classic1_STATE_819400000	classic1	27.4903438890382	10.7308069835078	8.76363389723168	5.9065220933998	5.94269945062269	-13.4739703196958
classic1_STATE_821070000	classic1	18.3632441019373	-0.582268836872327	-18.3235453965757	-14.522703430297	-18.4425950962526	-38.0658752871323
classic1_STATE_822740000	classic1	21.8556536601282	10.7323276915347	24.1937171578101	8.58478186458983	9.29737026298404	-22.5435401601757
classic1_STATE_824410000	classic1	33.2514566271365	8.48592582997548	6.4350835001395	39.6827403347167	-5.5783265914786	-11.2367388940126
classic1_STATE_826090000	classic1	-7.06806012514336	15.9474718873881	12.9885080704262	-6.36029689658571	0.629809147848485	2.7041292347312
classic1_STATE_827760000	classic1	29.3799499324676	-3.97946546192573	-19.6978625431197	-5.00520312601454	13.6172920480525	-9.29876671557544
classic1_STATE_829430000	classic1	19.827452988106	2.42120035606251	14.0938381074764	-8.06429460902691	-0.184300487355996	8.17384260622286
